user,time,menu
1,2.53,toolglass
2,2.1,toolglass
3,3.05,toolglass
4,2.32,toolglass
5,2.38,toolglass
6,2.51,toolglass
7,2.35,toolglass
8,2.45,toolglass
9,2.45,toolglass
10,2.32,toolglass
11,2.66,flowmenu
12,1.8,flowmenu
13,3.1,flowmenu
14,2.43,flowmenu
15,2.89,flowmenu
16,2.3,flowmenu
17,2.64,flowmenu
18,2.71,flowmenu
19,2.63,flowmenu
20,2.82,flowmenu
21,2.87,toolpalette
22,2.45,toolpalette
23,3.15,toolpalette
24,2.69,toolpalette
25,2.87,toolpalette
26,2.76,toolpalette
27,2.73,toolpalette
28,2.71,toolpalette
29,2.82,toolpalette
30,2.7,toolpalette
31,2.18,controlmenu
32,1.75,controlmenu
33,3.0,controlmenu
34,2.11,controlmenu
35,2.24,controlmenu
36,2.65,controlmenu
37,2.61,controlmenu
38,2.68,controlmenu
39,2.38,controlmenu
40,2.28,controlmenu
